N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
453,MEMORIAL H S,14,59
454,MEMORIAL H S,14,13
455,MEMORIAL H S,14,41
456,MEMORIAL H S,14,54
457,MEMORIAL H S,45,59
458,MEMORIAL H S,45,13
459,MEMORIAL H S,45,41
460,MEMORIAL H S,45,54
461,MEMORIAL H S,62,59
462,MEMORIAL H S,62,13
463,MEMORIAL H S,62,41
464,MEMORIAL H S,62,54
465,RANDOLPH H S,13,19
467,BRACKENRIDGE H,57,51
468,BURBANK H S,61,50
469,EDISON H S,58,59
470,FOX TECHNICAL H,12,5
471,HIGHLANDS H S,66,65
472,HOUSTON H S,69,69
473,JEFFERSON H S,56,55
474,JEFFERSON H S,56,64
475,JEFFERSON H S,56,48
476,JEFFERSON H S,63,55
477,JEFFERSON H S,63,64
478,JEFFERSON H S,63,48
479,JEFFERSON H S,48,55
480,JEFFERSON H S,48,64
481,JEFFERSON H S,48,48
482,LANIER H S,73,68
483,LANIER H S,73,58
484,LANIER H S,62,68
485,LANIER H S,62,58
486,TRAVIS EARLY CO,5,1
487,YOUNG WOMEN'S L,0,3
488,YOUNG WOMEN'S L,0,0
489,YOUNG WOMEN'S L,2,3
490,YOUNG WOMEN'S L,2,0
491,COOPER ACADEMY,88,86
492,ST PHILIP'S COL,19,28
493,ADVANCED LEARNI,18,20
494,PICKETT ACADEMY,100,71
495,HEALY-MURPHY,81,62
497,SOUTH SAN ANTON,51,51
498,SOMERSET H S,54,46
499,SHIRLEEN ZACHAR,30,13
500,LEE H S,43,43
501,LEE H S,43,50
502,LEE H S,43,50
503,LEE H S,49,43
504,LEE H S,49,50
505,LEE H S,49,50
506,LEE H S,84,43
507,LEE H S,84,50
508,LEE H S,84,50
509,MACARTHUR H S,30,29
510,MACARTHUR H S,30,42
511,MACARTHUR H S,30,53
512,MACARTHUR H S,49,29
513,MACARTHUR H S,49,42
514,MACARTHUR H S,49,53
515,MACARTHUR H S,88,29
516,MACARTHUR H S,88,42
517,MACARTHUR H S,88,53
518,CHURCHILL H S,25,26
519,ROOSEVELT H S,47,46
520,ROOSEVELT H S,47,35
521,ROOSEVELT H S,41,46
522,ROOSEVELT H S,41,35
523,MADISON H S,33,33
524,MADISON H S,33,70
525,MADISON H S,72,33
526,MADISON H S,72,70
527,REAGAN H S,10,8
528,REAGAN H S,10,57
529,REAGAN H S,58,8
530,REAGAN H S,58,57
531,INTERNATIONAL S,7,8
532,JOHNSON H S,13,13
533,EAST CENTRAL H,49,42
534,BEXAR COUNTY LR,85,63
535,SOUTHWEST H S,50,48
536,SOUTHWEST H S,50,49
537,SOUTHWEST H S,50,44
538,SOUTHWEST H S,52,48
539,SOUTHWEST H S,52,49
540,SOUTHWEST H S,52,44
541,SOUTHWEST H S,58,48
542,SOUTHWEST H S,58,49
543,SOUTHWEST H S,58,44
544,SOUTHWEST ACADE,84,89
545,VIRGINIA ALLRED,28,21
547,ROBERT G COLE M,21,19
548,HOLMES H S,48,44
549,JAY H S,54,49
550,MARSHALL H S,33,36
551,MARSHALL H S,33,53
552,MARSHALL H S,60,36
553,MARSHALL H S,60,53
554,CLARK H S,24,25
555,CLARK H S,24,13
556,CLARK H S,21,25
557,CLARK H S,21,13
558,HEALTH CAREERS,0,0
559,TAFT H S,25,26
560,TAFT H S,25,62
561,TAFT H S,61,26
562,TAFT H S,61,62
563,O'CONNOR H S,21,24
564,WARREN H S,26,26
565,WARREN H S,26,35
566,WARREN H S,36,26
567,WARREN H S,36,35
568,STEVENS H S,43,37
